"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"        Margin of Error","","±15,929","±15,643","±11,115","±63,476","±35,631","±2,049","±3,606","(X)","±3,200","±8,067","±2,781","","±19,458","±21,837","±15,390","±23,906","±56,944","±134,487","±42,039","","±6,179","","±8,863","±34,571","±15,765","±8,481","N","±11,721","±21,004","±13,274","±9,649"
"Lodi Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","62,133","50,571","48,606","7,375","10,081","19,809","2,891","9,037","2,804","15,927","10,082","","48,017","6,451","14,455","13,275","6,244","4,629","2,963","","200,246","","69,669","11,427","2,600","37,943","2,778","23,979","51,850","77,013","63,501"
"        Margin of Error","","±3,128","±2,756","±2,828","±1,925","±2,020","±2,202","±740","±1,846","±1,171","±1,964","±1,747","","±2,900","±1,150","±2,407","±2,318","±1,536","±1,299","±1,127","","±10,988","","±7,995","±2,826","±1,653","±7,190","±1,804","±6,199","±8,370","±9,199","±6,883"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","62,133","81.4%","78.2%","11.9%","16.2%","31.9%","4.7%","14.5%","4.5%","25.6%","16.2%","","48,017","13.4%","30.1%","27.6%","13.0%","9.6%","6.2%","","200,246","","34.8%","5.7%","1.3%","18.9%","1.4%","12.0%","25.9%","38.5%","31.7%"
"        Margin of Error","","±3,128","±2.0","±2.3","±3.0","±3.1","±3.0","±1.2","±2.9","±1.8","±2.9","±2.7","","±2,900","±2.3","±4.7","±4.2","±3.1","±2.8","±2.4","","±10,988","","±3.7","±1.4","±0.8","±3.2","±0.9","±3.1","±3.9","±4.2","±3.2"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","106,001","103,315","101,968","36,407","26,651","20,762","12,046","(X)","4,049","30,358","15,054","","112,451","68,226","85,287","139,144","109,462","182,131","119,105","","33,878","","50,334","30,220","20,654","23,973","8,312","27,974","24,586","25,322","52,745"
"        Margin of Error","","±8,252","±9,208","±9,256","±7,761","±8,699","±1,403","±1,502","(X)","±1,436","±4,036","±3,025","","±9,547","±12,077","±14,468","±17,271","±32,853","±34,787","±22,100","","±2,768","","±6,386","±6,063","±6,301","±4,025","±9,013","±4,579","±2,711","±2,632","±6,518"
"Long Beach Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","189,977","155,446","148,739","26,007","29,274","44,813","10,560","32,478","11,387","30,550","30,956","","113,173","14,471","36,964","29,968","15,936","9,376","6,458","","503,086","","193,921","52,468","10,479","77,205","1,875","86,901","80,237","209,486","140,937"
"        Margin of Error","","±4,688","±4,398","±4,240","±2,532","±2,306","±2,743","±1,562","±2,555","±1,681","±2,250","±2,412","","±3,196","±1,949","±2,793","±2,360","±1,862","±1,436","±1,100","","±5,207","","±11,229","±6,710","±3,554","±7,037","±1,179","±8,779","±7,345","±10,304","±8,659"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","189,977","81.8%","78.3%","13.7%","15.4%","23.6%","5.6%","17.1%","6.0%","16.1%","16.3%","","113,173","12.8%","32.7%","26.5%","14.1%","8.3%","5.7%","","503,086","","38.5%","10.4%","2.1%","15.3%","0.4%","17.3%","15.9%","41.6%","28.0%"
"        Margin of Error","","±4,688","±1.5","±1.7","±1.3","±1.1","±1.3","±0.8","±1.4","±0.9","±1.1","±1.3","","±3,196","±1.7","±2.3","±1.8","±1.6","±1.2","±1.0","","±5,207","","±2.1","±1.3","±0.7","±1.4","±0.2","±1.8","±1.4","±2.1","±1.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","98,432","99,809","96,263","46,020","25,468","19,110","10,130","(X)","7,754","30,744","14,486","","111,270","54,743","79,620","169,796","93,589","153,011","130,529","","37,887","","49,458","31,926","31,420","36,434","31,733","22,230","33,160","25,852","59,021"
"        Margin of Error","","±3,502","±3,805","±3,684","±9,331","±5,166","±884","±727","(X)","±1,663","±3,039","±1,031","","±5,091","±6,588","±6,537","±12,458","±12,878","±13,503","±16,117","","±1,452","","±2,870","±4,529","±5,716","±3,153","±14,621","±1,620","±2,871","±1,162","±3,327"
"Los Angeles Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,633,047","1,338,896","1,257,983","272,337","260,185","387,734","116,431","312,453","107,737","236,658","277,224","","985,169","111,797","331,655","227,709","153,603","80,964","79,441","","4,583,874","","1,353,842","382,816","73,108","516,426","7,725","1,353,750","896,207","2,357,314","1,151,171"
"        Margin of Error","","±12,400","±12,475","±12,250","±7,103","±8,634","±7,052","±4,575","±8,412","±5,414","±6,458","±8,006","","±12,764","±4,977","±7,323","±7,851","±6,350","±4,461","±4,209","","±16,348","","±21,883","±13,250","±9,362","±12,776","±1,897","±23,800","±27,582","±26,489","±19,955"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,633,047","82.0%","77.0%","16.7%","15.9%","23.7%","7.1%","19.1%","6.6%","14.5%","17.0%","","985,169","11.3%","33.7%","23.1%","15.6%","8.2%","8.1%","","4,583,874","","29.5%","8.4%","1.6%","11.3%","0.2%","29.5%","19.6%","51.4%","25.1%"
"        Margin of Error","","±12,400","±0.4","±0.5","±0.4","±0.5","±0.4","±0.3","±0.5","±0.3","±0.4","±0.4","","±12,764","±0.5","±0.6","±0.7","±0.6","±0.5","±0.4","","±16,348","","±0.5","±0.3","±0.2","±0.3","±0.1","±0.5","±0.6","±0.5","±0.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","103,146","103,866","101,990","39,527","33,840","18,384","10,032","(X)","7,543","29,781","15,923","","116,899","48,984","88,967","186,669","92,546","170,518","121,541","","37,568","","59,593","34,893","23,587","44,352","35,522","20,609","28,308","21,961","65,859"
"        Margin of Error","","±1,631","±1,735","±1,668","±2,284","±2,594","±312","±307","(X)","±409","±1,474","±522","","±2,349","±3,665","±4,084","±5,422","±3,554","±8,626","±4,314","","±635","","±1,686","±2,177","±1,829","±1,595","±7,669","±483","±993","±379","±1,971"
"Lucia Mar Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,164","21,946","21,311","4,069","10,792","13,598","1,711","3,430","1,003","11,284","5,987","","21,880","N","N","N","N","N","N","","80,302","","55,310","1,201","11","1,954","93","5,356","16,377","21,340","50,634"
"        Margin of Error","","±2,151","±2,079","±2,132","±952","±1,893","±1,750","±869","±1,072","±536","±1,475","±1,539","","±1,958","N","N","N","N","N","N","","±6,668","","±5,486","±854","±25","±1,061","±163","±2,359","±5,126","±4,832","±4,905"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,164","68.2%","66.3%","12.7%","33.6%","42.3%","5.3%","10.7%","3.1%","35.1%","18.6%","","21,880","N","N","N","N","N","N","","80,302","","68.9%","1.5%","0.0%","2.4%","0.1%","6.7%","20.4%","26.6%","63.1%"
"        Margin of Error","","±2,151","±4.7","±5.0","±3.0","±5.6","±4.9","±2.6","±3.1","±1.6","±4.5","±4.4","","±1,958","N","N","N","N","N","N","","±6,668","","±4.9","±1.1","±0.1","±1.4","±0.2","±3.0","±5.7","±5.2","±4.8"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","109,136","102,432","99,872","29,393","34,626","23,029","13,036","(X)","5,549","39,896","16,267","","122,738","N","N","N","N","N","N","","44,318","","49,351","33,171","N","40,159","N","20,494","36,302","30,471","51,340"
"        Margin of Error","","±11,889","±15,825","±16,346","±5,323","±12,335","±1,768","±2,417","(X)","±2,978","±6,981","±4,472","","±13,827","N","N","N","N","N","N","","±4,926","","±6,881","±10,480","N","±16,308","N","±5,030","±15,058","±11,005","±7,422"
"Madera Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","24,843","18,911","17,870","2,142","2,374","7,478","2,972","6,581","1,994","4,465","4,784","","19,366","3,386","7,233","2,303","3,559","1,620","1,265","","93,909","","21,880","1,561","1,147","1,418","92","41,440","26,371","75,573","12,577"
"        Margin of Error","","±1,892","±1,912","±1,952","±966","±904","±1,218","±1,438","±1,554","±730","±1,398","±1,311","","±1,774","±1,017","±1,449","±939","±1,167","±643","±640","","±5,027","","±4,813","±1,025","±839","±911","±166","±6,224","±5,550","±4,396","±2,469"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","24,843","76.1%","71.9%","8.6%","9.6%","30.1%","12.0%","26.5%","8.0%","18.0%","19.3%","","19,366","17.5%","37.3%","11.9%","18.4%","8.4%","6.5%","","93,909","","23.3%","1.7%","1.2%","1.5%","0.1%","44.1%","28.1%","80.5%","13.4%"
"        Margin of Error","","±1,892","±5.2","±5.3","±3.9","±3.5","±4.6","±5.7","±5.9","±2.9","±5.4","±5.3","","±1,774","±4.9","±6.6","±4.9","±5.6","±3.3","±3.2","","±5,027","","±4.8","±1.1","±0.9","±1.0","±0.2","±6.6","±5.6","±2.7","±2.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","87,330","90,366","93,551","17,351","45,475","16,714","11,928","(X)","5,513","25,258","14,310","","100,720","54,397","58,832","234,497","121,976","139,254","111,519","","25,636","","48,605","18,554","31,220","104,992","N","14,641","19,623","16,720","70,973"
"        Margin of Error","","±19,162","±24,640","±25,269","±6,525","±44,335","±2,323","±3,750","(X)","±2,059","±8,363","±3,289","","±25,244","±30,937","±13,277","±145,151","±48,621","±35,088","±17,415","","±5,327","","±19,407","±8,776","±10,780","±79,944","N","±2,806","±3,951","±2,192","±32,641"
"Manteca Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","40,537","32,241","31,222","4,103","6,124","12,252","2,256","4,879","1,879","10,097","8,939","","31,462","3,756","10,199","7,593","4,049","3,181","2,684","","137,895","","51,290","8,091","1,681","24,860","705","19,554","31,714","54,398","45,126"
"        Margin of Error","","±2,543","±2,322","±2,269","±1,160","±1,302","±2,106","±953","±1,260","±815","±1,634","±1,789","","±2,200","±1,113","±1,698","±1,526","±1,122","±913","±1,025","","±6,898","","±5,613","±2,738","±1,308","±4,473","±650","±5,773","±6,825","±8,013","±5,314"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","40,537","79.5%","77.0%","10.1%","15.1%","30.2%","5.6%","12.0%","4.6%","24.9%","22.1%","","31,462","11.9%","32.4%","24.1%","12.9%","10.1%","8.5%","","137,895","","37.2%","5.9%","1.2%","18.0%","0.5%","14.2%","23.0%","39.4%","32.7%"
"        Margin of Error","","±2,543","±3.5","±3.7","±2.6","±3.1","±4.5","±2.4","±3.2","±2.1","±3.5","±4.3","","±2,200","±3.4","±4.7","±4.5","±3.6","±2.9","±3.1","","±6,898","","±4.4","±2.0","±0.9","±3.2","±0.5","±3.9","±4.6","±4.8","±4.1"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","111,760","112,835","109,647","52,284","26,056","20,184","11,539","(X)","4,786","33,031","13,098","","123,540","68,404","92,199","166,437","110,028","174,199","158,773","","34,198","","41,390","36,323","45,288","35,238","N","30,475","23,071","25,401","44,206"
"        Margin of Error","","±7,463","±8,256","±8,096","±21,209","±12,407","±2,083","±2,182","(X)","±2,654","±6,681","±1,859","","±8,684","±16,026","±13,482","±21,596","±21,153","±19,484","±37,853","","±2,409","","±4,553","±10,962","±8,139","±5,389","N","±5,793","±3,810","±2,741","±4,983"
"Marysville Joint Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,356","16,979","16,161","2,800","3,083","8,644","2,553","7,030","1,974","4,277","3,822","","16,483","3,248","7,130","1,894","1,858","1,034","1,319","","65,147","","31,487","1,407","2,221","6,785","53","9,394","13,800","22,352","30,384"
"        Margin of Error","","±1,125","±1,243","±1,454","±1,059","±840","±1,238","±759","±1,330","±708","±1,023","±1,225","","±1,363","±862","±1,607","±675","±752","±711","±953","","±3,117","","±2,710","±1,001","±1,849","±909","±72","±2,836","±3,312","±1,544","±2,442"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,356","75.9%","72.3%","12.5%","13.8%","38.7%","11.4%","31.4%","8.8%","19.1%","17.1%","","16,483","19.7%","43.3%","11.5%","11.3%","6.3%","8.0%","","65,147","","48.3%","2.2%","3.4%","10.4%","0.1%","14.4%","21.2%","34.3%","46.6%"
"        Margin of Error","","±1,125","±4.3","±5.5","±4.8","±3.8","±5.4","±3.3","±5.9","±3.2","±4.6","±5.6","","±1,363","±5.0","±8.4","±4.0","±4.7","±4.3","±5.8","","±3,117","","±3.3","±1.5","±2.9","±1.5","±0.1","±4.5","±4.8","±2.5","±2.9"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","69,135","66,984","67,116","18,803","10,457","18,849","12,942","(X)","4,690","31,486","9,456","","73,182","42,363","53,164","99,670","77,721","222,145","96,083","","23,515","","26,986","35,670","16,246","15,181","N","18,518","23,056","20,282","27,352"
"        Margin of Error","","±8,658","±9,922","±10,082","±8,538","±7,058","±1,706","±3,359","(X)","±2,700","±10,985","±2,866","","±11,115","±11,208","±7,280","±17,504","±19,798","±80,234","±33,435","","±2,535","","±3,139","±15,451","±7,990","±3,472","N","±4,926","±8,376","±5,056","±3,260"
"Milpitas Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,896","19,914","19,654","1,810","6,413","4,581","1,804","1,949","894","4,079","3,254","","17,999","1,238","5,390","5,897","1,802","2,241","1,431","","77,166","","8,490","759","486","55,468","363","4,796","6,804","10,471","7,619"
"        Margin of Error","","±1,021","±961","±990","±538","±1,119","±881","±723","±646","±417","±715","±667","","±959","±429","±1,177","±1,052","±667","±635","±563","","±1,465","","±1,989","±381","±423","±3,647","±312","±1,922","±1,982","±2,529","±1,838"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,896","87.0%","85.8%","7.9%","28.0%","20.0%","7.9%","8.5%","3.9%","17.8%","14.2%","","17,999","6.9%","29.9%","32.8%","10.0%","12.5%","8.0%","","77,166","","11.0%","1.0%","0.6%","71.9%","0.5%","6.2%","8.8%","13.6%","9.9%"
"        Margin of Error","","±1,021","±2.8","±3.1","±2.4","±4.5","±3.7","±3.2","±2.8","±1.8","±3.2","±3.0","","±959","±2.4","±5.8","±5.6","±3.7","±3.7","±3.2","","±1,465","","±2.6","±0.5","±0.5","±4.3","±0.4","±2.5","±2.6","±3.3","±2.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","183,048","190,185","189,762","31,911","13,529","20,433","12,370","(X)","7,751","34,362","16,578","","198,493","62,279","168,547","250,866","183,849","229,503","183,187","","55,056","","62,229","36,863","N","59,448","N","37,389","28,411","33,875","65,670"
"        Margin of Error","","±12,617","±13,438","±13,366","±14,976","±4,326","±2,694","±2,279","(X)","±4,058","±10,784","±3,680","","±14,222","±21,243","±28,539","±30,418","±34,396","±37,292","±29,484","","±4,036","","±11,434","±20,361","N","±4,741","N","±11,110","±6,704","±6,101","±12,422"
"Montebello Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","45,746","37,782","36,616","4,860","4,906","13,851","3,952","10,132","2,213","6,569","11,099","","35,802","4,209","11,291","5,097","7,358","4,144","3,703","","163,415","","18,976","935","6,230","17,402","46","68,869","50,957","136,975","6,403"
"        Margin of Error","","±2,349","±2,117","±2,128","±1,226","±1,086","±1,616","±883","±1,608","±731","±977","±1,476","","±1,877","±1,083","±1,387","±1,111","±1,217","±956","±977","","±9,085","","±3,783","±690","±2,927","±3,149","±81","±7,618","±7,300","±9,890","±1,921"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","45,746","82.6%","80.0%","10.6%","10.7%","30.3%","8.6%","22.1%","4.8%","14.4%","24.3%","","35,802","11.8%","31.5%","14.2%","20.6%","11.6%","10.3%","","163,415","","11.6%","0.6%","3.8%","10.6%","0.0%","42.1%","31.2%","83.8%","3.9%"
"        Margin of Error","","±2,349","±2.7","±2.9","±2.7","±2.3","±3.4","±1.9","±3.5","±1.6","±2.0","±3.1","","±1,877","±2.9","±3.9","±3.0","±3.1","±2.6","±2.6","","±9,085","","±2.4","±0.4","±1.8","±2.0","±0.1","±3.8","±3.8","±2.6","±1.2"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","81,927","81,132","80,031","27,763","30,503","17,605","8,893","(X)","6,087","21,782","8,768","","86,539","43,245","59,861","108,608","81,792","146,009","129,602","","23,495","","26,979","22,905","25,037","35,117","N","20,071","22,659","21,596","29,549"
"        Margin of Error","","±4,437","±4,454","±4,561","±7,746","±12,201","±1,462","±789","(X)","±1,827","±4,021","±1,578","","±4,486","±9,582","±6,610","±9,425","±9,229","±16,696","±17,863","","±1,219","","±4,669","±18,128","±3,976","±5,028","N","±1,798","±1,910","±1,239","±10,355"
"Monterey Peninsula Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","35,628","28,141","27,472","3,703","8,244","9,803","1,314","4,572","2,132","9,233","7,484","","21,459","3,475","6,020","6,558","3,473","1,124","809","","96,829","","47,242","4,796","351","12,488","1,400","16,169","14,383","28,820","42,166"
"        Margin of Error","","±1,871","±1,629","±1,664","±890","±1,368","±1,281","±674","±914","±657","±1,455","±1,228","","±1,700","±900","±1,272","±1,217","±914","±479","±420","","±3,996","","±4,038","±1,610","±301","±2,084","±603","±3,302","±2,348","±3,586","±3,538"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","35,628","79.0%","77.1%","10.4%","23.1%","27.5%","3.7%","12.8%","6.0%","25.9%","21.0%","","21,459","16.2%","28.1%","30.6%","16.2%","5.2%","3.8%","","96,829","","48.8%","5.0%","0.4%","12.9%","1.4%","16.7%","14.9%","29.8%","43.5%"
"        Margin of Error","","±1,871","±3.4","±3.5","±2.6","±3.5","±3.1","±1.9","±2.6","±1.8","±3.5","±3.3","","±1,700","±3.9","±5.1","±4.8","±4.3","±2.3","±2.0","","±3,996","","±3.6","±1.7","±0.3","±2.1","±0.6","±3.3","±2.4","±3.2","±3.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","106,049","100,764","97,515","42,312","35,599","21,334","8,651","(X)","8,143","30,613","17,195","","124,497","69,385","98,487","175,651","98,277","193,341","157,009","","40,456","","51,331","33,566","62,207","42,742","23,923","20,756","28,270","24,589","54,789"
"        Margin of Error","","±7,395","±7,516","±6,800","±20,686","±21,893","±1,710","±3,020","(X)","±3,658","±5,508","±2,602","","±10,820","±12,759","±10,670","±30,956","±21,077","±51,002","±26,496","","±3,043","","±5,771","±9,574","±17,269","±5,255","±7,473","±4,085","±6,160","±3,674","±6,215"
"Moreno Valley Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,425","39,422","38,694","3,934","4,109","11,789","2,762","6,816","2,488","8,665","8,997","","38,582","4,330","12,589","7,046","7,549","3,964","3,104","","179,129","","29,615","26,298","2,575","8,155","1,551","73,809","37,126","113,050","24,493"
"        Margin of Error","","±2,573","±2,323","±2,247","±1,072","±723","±1,318","±783","±1,142","±768","±1,393","±1,528","","±2,368","±872","±1,755","±1,243","±1,514","±926","±792","","±6,299","","±5,259","±4,637","±1,644","±2,348","±1,240","±7,005","±5,617","±7,442","±4,788"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,425","84.9%","83.3%","8.5%","8.9%","25.4%","5.9%","14.7%","5.4%","18.7%","19.4%","","38,582","11.2%","32.6%","18.3%","19.6%","10.3%","8.0%","","179,129","","16.5%","14.7%","1.4%","4.6%","0.9%","41.2%","20.7%","63.1%","13.7%"
"        Margin of Error","","±2,573","±2.7","±2.7","±2.2","±1.5","±2.5","±1.7","±2.5","±1.7","±2.7","±3.0","","±2,368","±2.2","±3.7","±3.0","±3.9","±2.3","±2.0","","±6,299","","±2.9","±2.5","±0.9","±1.3","±0.7","±3.8","±2.9","±3.6","±2.7"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","91,911","91,132","90,049","27,516","13,966","18,485","9,056","(X)","5,086","26,247","14,889","","92,129","43,772","62,974","123,977","92,807","144,795","136,633","","25,353","","32,236","27,756","27,558","39,272","N","21,819","22,786","22,163","35,259"
"        Margin of Error","","±4,765","±5,292","±5,464","±8,935","±5,277","±1,732","±1,083","(X)","±1,623","±3,831","±1,929","","±4,900","±8,473","±6,473","±12,458","±9,014","±20,419","±18,036","","±1,593","","±3,976","±4,290","±5,065","±11,783","N","±1,611","±2,668","±1,570","±5,099"
"Morgan Hill Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","21,541","18,290","17,702","3,389","7,575","6,499","773","2,337","966","4,922","2,496","","16,861","1,830","5,745","5,790","1,673","1,214","609","","65,336","","31,526","270","1,106","11,228","28","6,385","14,793","22,136","28,402"
"        Margin of Error","","±1,289","±1,247","±1,200","±907","±1,161","±1,249","±377","±832","±454","±939","±696","","±1,224","±533","±1,135","±1,016","±566","±491","±378","","±4,186","","±4,208","±206","±1,005","±2,715","±63","±3,281","±3,181","±4,333","±3,986"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","21,541","84.9%","82.2%","15.7%","35.2%","30.2%","3.6%","10.8%","4.5%","22.8%","11.6%","","16,861","10.9%","34.1%","34.3%","9.9%","7.2%","3.6%","","65,336","","48.3%","0.4%","1.7%","17.2%","0.0%","9.8%","22.6%","33.9%","43.5%"
"        Margin of Error","","±1,289","±3.6","±3.8","±4.1","±5.1","±5.4","±1.7","±3.7","±2.1","±4.3","±3.2","","±1,224","±3.2","±6.1","±5.3","±3.3","±3.0","±2.2","","±4,186","","±5.7","±0.3","±1.5","±4.2","±0.1","±4.8","±4.8","±5.5","±5.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","183,526","178,843","173,887","56,920","31,799","26,850","11,316","(X)","11,838","42,387","15,266","","197,401","69,195","155,216","263,032","208,245","269,759","182,597","","62,137","","77,850","129,446","N","63,383","N","34,211","38,780","37,319","82,182"
"        Margin of Error","","±16,882","±17,319","±17,511","±16,242","±11,690","±2,993","±2,311","(X)","±4,191","±14,581","±6,269","","±18,383","±14,916","±31,794","±34,180","±45,980","±34,435","±61,855","","±5,781","","±9,043","±64,821","N","±12,789","N","±9,931","±10,290","±6,530","±10,296"
"Morongo Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","27,790","20,563","19,007","2,632","4,923","9,048","1,835","4,814","761","5,891","4,620","","15,823","N","N","N","N","N","N","","73,022","","47,689","3,847","967","3,075","354","2,540","14,550","15,556","44,511"
"        Margin of Error","","±2,435","±2,184","±2,092","±992","±1,431","±1,485","±636","±1,213","±396","±1,036","±1,054","","±1,928","N","N","N","N","N","N","","±6,679","","±6,326","±1,726","±580","±1,312","±334","±1,657","±3,636","±4,044","±6,389"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","27,790","74.0%","68.4%","9.5%","17.7%","32.6%","6.6%","17.3%","2.7%","21.2%","16.6%","","15,823","N","N","N","N","N","N","","73,022","","65.3%","5.3%","1.3%","4.2%","0.5%","3.5%","19.9%","21.3%","61.0%"
